Item No.,Description ,UOM , Qty ,Rate ,Amount 
,Cost of suitable form work as per site requirement.,, -   ,, -   
,Adequate protection to edges and corners of Plain Cement Concrete works from damage during construction. ,, -   ,, -   
,"Keeping the work, well watered for 3-5 days for plain cement concrete works  after casting and it shall confirm to IS Specification. ",, -   ,, -   
,Coarse graded sand/ manufactured sand of approved make shall be used for all concrete works.,, -   ,, -   
,Machine crushed coarse graded aggregate shall be hard broken blue granite of sizes specified.,, -   ,, -   
,Cement for all concrete works shall only be High strength ordinary portland cement Grade-53. ,, -   ,, -   
,Minimum cementitious content for specified design mix shall be in accordance with specification. Minimum cementitious content will be the same as specified in the Technical specification Irrespective of grade of cement used. (Design mix shall be as approved by the Structural Consultant. GGBS can be considered up to 50% of the overall cementious content in concrete mix design for structural elements.),, -   ,, -   
,"Providing and laying plain cement concrete at any heights and levels including the cost of all materials , labour, leads and lifts, tools and plant, machinery as per specification with necessary shuttering etc complete. In the concreting works if water table is encountered or water collected by surface runoff, then the rate for concreting should include the cost of dewatering up to the final set of cement. The concrete shall be produced at site using batching plant / weigh batcher at site including any pumping if required. The fine aggregates shall be manufactured sand.",, -   ,, -   
,All plain cement concrete works shall be done in accordance with technical specification.,, -   ,, -   
2.1,"Providing and laying Plum concrete using lean concrete of grade M5 wherever specified using cement, fine aggregates, 40mm  down size metal and boulders of 150mm (proportion 60: 40 for concrete : boulder) including sub grade base preparation, levelling, laying and placing of concrete and boulders in sequential manner to achieve a solid mass including all leads and lifts, rough finishing at the top surface, curing and temporary formwork if necessary etc., complete at all levels as directed by Client / the Engineer and as per drawings.",Cum," 2,074 ",, -   
2.2,"Providing and laying plain cement concrete of grade M10 at all levels using coarse graded aggregate of 20mm and down size, fine aggregates, cement for levelling course under footings, flooring, steps, walls, platform, for external development works and at locations specified etc. including sub grade base preparation, form work wherever necessary, levelling, compacting, curing, including all leads and lifts, rough finishing at the top surface etc. all complete, as directed by Client / the Engineer and as per drawings.",, -   ,, -   
i,"Below raft, Footings, Grade Slab etc",Cum," 1,942 ",, -   
2.3,"Providing and laying plain cement concrete of grade M15 of specified thickness wherever specified at all levels using fine aggregate, cement, 20mm and downsize aggregate including cleaning, subgrade preparation, compaction, levelling, all leads and lifts, rough finishing at the top surface, curing and shuttering if necessary etc., complete as per drawings and as  directed by Client / the Engineer.",, -   ,, -   
i,"DPC , Copings, shaft screed, cill concrete, filled up ramps etc.,",Cum, 135 ,, -   
2.4,"Providing and laying 600 micron gauge polythene paper/Polythene sheet where ever specified, to the required levels, including supply, loading and unloading, storing, transportation, laying, sealing of junctions and overlaps, all leads and lifts, etc., complete as per drawings and as  directed by Client / the Engineer.
Note: This will applicable based on the site conditions only.",, -   ,, -   
i,Below Grade slab,Sqm," 11,506 ",, -   
,Sub-Total,,,, -   
3,REINFORCED  CEMENT  CONCRETE,, -   ,, -   
,Unless otherwise specified rates quoted for all RCC works shall include the following:,, -   ,, -   
,"Cost of all materials, labour, equipment / tools & plants required, conveyance, infrastructure facilities required etc.",, -   ,, -   
,All RCC items include batch weighing of cement and aggregates.,, -   ,, -   
,For all RCC works cement concrete shall be of approved design mix.,, -   ,, -   
,"All concrete used for reinforced concrete work (structural concrete) shall be ""Controlled concrete"". Contractors shall submit drawings showing the scheme of form work system adopted (shuttering) for all structural elements at various levels as indicated in drawings and this shall be obligatory. 'The Contractor shall maintain at site, cube testing machine in good working order, sieves, slump cone, graduated cylinder and weights, verticality laser machine, scales and other equipment's for material testing.",, -   ,, -   
,"Form work (which shall be measured and paid separately under relevant item) include splayed edges, notching, allowances for overlaps and passing at angles, battens, strutting, bolting, wedging, casing, rocking, centring, boxing, shuttering, propping strut braces etc., removal thereof and dressing the shuttering with oil to prevent, cement sticking to shutter faces. Form work shall be either straight, curved, plain or tapered and also with provision for specified slopes, if directed. Wind tie bolts for wall shuttering.",, -   ,, -   
,"Keeping the work, well watered for 10 days after casting and it shall confirm to IS Specification.",, -   ,, -   
,"Placing in position any inserts like bolts, plates, sleeves, plugs for fixing window frames in RCC members, pipes etc.",, -   ,, -   
,The contractors are particularly advised to study the relevant drawings carefully before quoting.,, -   ,, -   
,Adequate protection to corners and sides from damage during the construction.,, -   ,, -   
,Consolidation using vibrators of approved type as directed.,, -   ,, -   
,Work on all floors at levels as per drawing.,, -   ,, -   
,Reinforcement steel is measured and paid under relevant item separately.,, -   ,, -   
,Before concreting moisture content in the aggregates shall be found out and necessary corrections shall be applied as per Mix Design report.,, -   ,, -   
,Rate to include bonding agents for bonding old concrete to new concrete wherever necessary. ,, -   ,, -   
,"All Construction joints shall be at pre approved locations only. All Construction joints and concrete set surface shall be chipped immediately after final setting using mechanical chippers and thoroughly cleaned and shall be treated with epoxy bonding agent while concreting further without any extra cost. Expanded GI mesh shall be considered between the junction of difference in grade of concrete only in Column Drop, column drop & slab, column/core wall  with shear walls.",, -   ,, -   
