Item No.,Description ,UOM , Qty ,Rate ,Amount 
,Part-A - Waterproofing as per above specification,Sqm," 1,901 ",, -   
,Part-B - Protective Plaster as per above specification,Sqm," 1,901 ",, -   
,Part-C - Cinder Filling as per above specification,Cum, 237 ,, -   
,Part-D - Screed concrete as per above specification,Sqm," 1,901 ",, -   
ii,"Supply, fixing and testing of 40 mm dia  PVC pipes(6kg/sqcm) conforming to IS 4985 above the protective screed level at sunken slabs to drain out the collected water if any with solvent cement joints, including all the fittings in sunken slabs to the nearby shaft. The quoted rate to include necessary borepacking around the pipes and supports such as hanger supports, grip bolts, clamps etc., complete.",Rmt," 2,310 ",, -   
D,WATERPROOFING TREATMENT FOR - SUNK DEPTH 250mm,, -   ,, -   
,Note: Plan area shall be the mode of measurement.,, -   ,, -   
i,"PART A: 1. Before starting waterproofing works, the surface of the slab should be made free of any loose particles, vegetation, grease or oily matters etc. All honey combs should be repaired as per approved repair procedures. 
2.When PVC pipes are inserted in the designated openings in the slab/wall, it should be applied with epoxy bonding agent sprayed with sand on the portion coming in contact with non shrink grout or mortar or concrete to enhance the bonding and packed with non shrink grout includiing scafolding as directed.  
3.During construction, Construction joints (CJ) are not to be provided in sunken areas for toilets, balconies and utility areas. By any chance if CJ exist in areas mentioned above, treatment method for such CJ should be considered on a case to case basis. Coving or haunching shall be made in between vertical and horizontal surfaces as per the manufacturer recommendations,block works and slab joints shall be make water tight.
4.Ponding test should be conducted for a period of 48 hours to ensure that there is no leakage from the slab.Any damp spots on the slab should be attended by grouting cement mixed with flow enhancers like Cebex-100 or equivalent until the leak or dampness is arrested. 
5. After preparing the surface necessary primer coat shall be applied as mentioned above apply polymer based acrylic cementitious coating (preferable two coats) with minimum 1.2mm thickness(DFT).The coating shall be terminated 300mm above the finish floor level. The membrane should have minimum 40% elongation capacity with a water resistance capacity of 1.5 bars.After completion of coatings  proper barrication shall be ensured to avoid movements.
6. Coverage of the material should be noted on a daily basis and to be included in the daily quality control report.
7. All penetrations should be made water tight. Waterproofing details near the penetrations should be submitted to the client and approval to be obtained prior to start the work. 
8. Manufacturer/applicator should submit the complete product details with Shore A hardness, tensile strength, elongation and tear strength along with detailed method statement showing details at penetration, termination etc. 
Treatment shall be provided from standard manufacturers like BASF, SIKA, FOSROC or equivalent.
Note: Plan area shall be the mode of measurement.",, -   ,, -   
,"PART B: The second part consists of surface method in cement plater with 1:4 mortar; for floor of 15mm thickness, finished with neat cement finish with necesary slope towards the spout, and  CM 1:4 ratio, 12 mm thick for walls till 300mm above finished floor levels with water proof admixture as per Manufacturer's specification approved by consultants/client.
Ponding tests for a period of 48 hours should be conducted after the completion of protection layer to ensure water tightness. Note: Plan area shall be the mode of measurement.",, -   ,, -   
,"PART C: Providing and filling approved 50mm downsize Cinder in CM 1:8 proportion on structural slab having high compressive strength with thermal / acoustic insulation properties, anti-corrosion of  desired density. Cinder available from furnaces of steam boilers using coal fuel only shall be used and brick kiln cinder shall not be allowed. The cinder should be cleaned, free from dirt and wood ashes and shall pass through IS 3.35 sieve with 50% passing through IS 1.70 sieve and should not contain more than 10% of unburnt carbon and not more than 0.5% of acid soluble sulphates(SO). The cinder should be soaked in water before filling. Including Mixing, transportation, placing, compacting and finishing to the required level etc complete. density 800 Kg/Cum. The concrete shall be cured for 7 days.
Note: Plan area shall be the mode of measurement.",, -   ,, -   
,"PART D: Providing and laying PCC M15, 50mm thick screed concrete over cinder filling in the sunken slabs to required slope, level & fininsh to receive floor tiles, including consolidation, curing etc., complete at all levels
Note: Plan area shall be the mode of measurement.",, -   ,, -   
,Part-A - Waterproofing as per above specification,Sqm, 60 ,, -   
,Part-B - Protective Plaster as per above specification,Sqm, 60 ,, -   
,Part-C - Cinder Filling as per above specification,Cum, 15 ,, -   
,Part-D - Screed concrete as per above specification,Sqm, 60 ,, -   
ii,"Supply, fixing and testing of 40 mm dia  PVC pipes(6kg/sqcm) conforming to IS 4985 above the protective screed level at sunken slabs to drain out the collected water if any with solvent cement joints, including all the fittings in sunken slabs to the nearby shaft. The quoted rate to include necessary borepacking around the pipes and supports such as hanger supports, grip bolts, clamps etc., complete.",Rmt, 375 ,, -   
7.6,WATERPROOFING TREATMENT FOR TERRACE / PODIUM.,, -   ,, -   
,"Providing waterproofing to the roof by the following method with 10 years guarantee, which consists of :",, -   ,, -   
i,"Single component pure polyurethane based  elastomeric seamless liquid applied membrane:
1.Before starting waterproofing  works the surface of  the slab should  be  made free of any loose particles, vegetation, grease or oily matters etc.treating all surface cracks, construction joints and honey combs by grouting with specialised nonshrink grout, injection grouting through nozzles, haunching the corners,bore packing and grouting the annular space between pipe and concrete as specified by approved Contractor and preparation of surface in all aspects to receive the waterproofing  Ponding test should be conducted for a period of 72 hours to ensure that there is no leakage from the slab. Any damp spots on  the slab should  be  attended  by grouting  cement  mixed  with  flow  enhancers  like Cebex-100 or equivalent until the leak or dampness is arrested. 
2.After treating  the  surface as mentioned  above apply liquid applied,  high performance, pure polyurethane based, single component,  low VOC, elastomeric, seamless, moisture curing, waterproof membrane, applied in 2 coats with roller / airless spray,(As required  by the manufacturer specifications but minimum thickness (DFT) shall pass 1.5 mm) with  over 400% elongation and sufficient puncture resistance and anti-root penetration capacity over one coat of compatible primer at a coverage as per the manufacturer's recommendation . The spray applied membrane should be seamless, free of any holes. Overlap   should   be   as   per manufacturer specifications.
3. When spray applied or brush coated procedure is adopted, the coverage of the material should be noted on a daily basis and to be submitted to client. 
4.At the expansion joints and termination, the detailing for the membrane application shall be submitted to the Client / the Engineer/QA approval prior to commencing the work.
5.The PU waterproofing membrane should be extended 300mm above FFL on the vertical surface and tucked into the wall by making a groove.
6.Ponding tests for 72 hours should be conducted after the completion of application of membrane to ensure water tightness.
7.Treatment shall be provided from standard manufacturers like FOSROC,BASF,SIKA / Equivalent.
8.Thereafter Providing and laying 250 GSM non woven polypropylene geotextile for horizontal surface.
",Sqm," 14,542 ",, -   
,"9.Sand sprinkle to be given for vertical wall surface over the PU waterproof coating to make proper mechanical key for bonding the plaster surface using special bonding agents .
Note: Plan area shall be the mode of measurement.",, -   ,, -   
ii,"For Tiling Area:
For Floor: Providing & Laying average 75mm THK protective screed of M15 grade with slope 1:120 or as per approved GFC containing 12 mm downsize aggregates, 100% virgin polypropylene fibers @ 0.9 Kg per Cu.m  well compacted, to be broom finish to receive tiling, curing for 7 days, Screed to be laid in panels of 4m wide not more than 200sqm/or as per site condition using alternate panel method and the control joints shall be provided for every 16 sqm, 10mm X 100mm  thermocol to be placed at the peripheral corners prior to laying screed and later 10 mm wide X 30 mm deep thermocol to be removed from screed top  and to be filled with ShaliTex Bitumen Based Sealing Compound or Equivalent. Construction joint treatment to be ensured in the Screed panels etc. complete. 
NOTE: Only Plan areas shall be considered and necessary shop drawings shall be submitted by contractor for consultants/client approval prior to execution.",Sqm," 4,227 ",, -   
iii,"For vertical surface : Providing and laying  12mm thick protective plaster on the wall in cement mortar (1:4),including mixing integral waterproofing compound as per manufacturer specifications including bonding agent.",Sqm, 291 ,, -   
iv,"For Non Tiling Area (Screed concrete as final finish):
For Floor: Providing & Laying average 75mm THK protective screed of M15 grade with slope 1:150 or 1:100 as per approved GFC containing 12 mm downsize aggregates, 100% virgin polypropylene fibers @ 0.9 Kg per Cu.m with a smooth finish, well compacted, curing for 7 days etc. complete. 10mm X 100mm  thermocol to be placed at the peripheral corners prior to laying screed and later 10 mm wide X 30 mm deep thermocol to be removed from screed top  and to be filled with ShaliTex Bitumen Based Sealing Compound or Equivalent. The screed shall be finished with checkered marking of 600 mm x 600mm using 3 mm thread and panels of 3000mm X 3000mm shall be formed by saw cut groove of size 6 mm wide X 30 mm deep (with in 20 hrs time) which then filled with ShaliTex Bitumen Based Sealing Compound by covering either sides neatly with masking tape to avoid spillages,etc., clean and complete. 
NOTE: Only Plan areas shall be considered and necessary shop drawings shall be submitted by contractor for consultants/Client / the Engineer approval prior to execution.",Sqm," 10,315 ",, -   
v,"For Vertical surface : Providing and laying  12 mm thick protective plaster on the wall in cement mortar (1:4), including mixing integral waterproofing compound as per manufacturer specifications including bonding agent.",Sqm, 682 ,, -   
7.7,CLAY TILE FLOORING FOR FLAT TERRACES,, -   ,, -   
i,"Providing & Laying clay Tiles as per IS 1478:1992 of approved size and thickness,  of 1st  class  quality  in  approved colors/shades to  floor  in  required  position set  on  bed  of  cement  mortar  1:4  (1 Cement : 4  Manufactured Sand) of minimum  30mm  thk to required slopes as per drawing including cement slurry matching the staggered design patterns, Joints to run horizontally and vertically with 10 mm spacers, levelling, lining, grouting the joints with greycement mxed grouts or equivalent grouting prigments added to match the colour of the tile or contrast to tile as per specifications from drawings, rubbing, washing, curing, cleaning and protecting finished surface from scratches, damage,stains and other damages at level with POP over bubbled polythene sheet or equivalent etc., complete.",Sqm," 2,832 ",, -   
ii,"Providing  & Laying  sloped clay Tile skirting of approved size and thickness, per IS 1478:1992, of   1st  class  quality  in  approved colors/shades to floor in required  position set  on  bed  of  cement  mortar  1:4  (1 Cement  : 4  Manufactured Sand) of minimum  30mm  thk to required slopes as per drawing incl cement slurry matching the design patterns, Joints to run vertically with 10 mm spacers, leveling, lining, grouting the joints with greycement mixed grouts or equivalent prigments added to match the colour of the tile or contrast of tile as per specifications, rubbing, washing, curing, cleaning etc., complete. 
100mm height",Rmt," 1,608 ",, -   
7.8,TERRACE SLAB & WATER RETAINING STRUCTURES,, -   ,, -   
i,Water Proofing using Integral admixture system - Fosroc or Equivalent,, -   ,, -   
,"Supply and mixing of one part cementitious integral crystalline admixture added to the concrete mix at the time of batching at the rate of minimum 0.8% to the weight of cement content per cum of concrete as per the manufacturer's specification in the concretes of terrace floors, podium and waterbodies. The crystalline admixture shall be compatible with any other concrete admixtures confirming to ASTM C494, EN 934-2 or IS 9103 and the performance of the cystalline admixture must not be restricted by water cement ratio of the the concrete mix and when used in the concrete will have no detrimental side effect interms of Alkali silica reaction and corrosion of steel reinforcement.
Integral crystalline admixture must be added to the concrete at the time of batching at the batching plant or inthe drum of the transit mixer, when the concrete arrives at the point of pouring as per the detailing and mixing guidelines of the manufacturer's specifications.",, -   ,, -   
,M30 Grade concrete ( i.e. Excluding Concrete Cost),, -   ,, -   
a,UGT / STP / Sumps / Water body / OHT/ Staircase Head Room / Terrace slabs etc,Cum," 7,677 ",, -   
7.9,WATERPROOFING TREATMENT FOR SWIMMING POOL - WALLS,, -   ,, -   
i,"Providing and applying VOC free, Flexible, fast setting seamless spray applied, Pure Polyurea water proof coating consisting of two component rapid  curing polyurea  system with  tensile strength   15MPa and temperature resistance between -20deg.C to +120deg celcius, 1.4mm average thick, which shall be applied over necessary priming coat as per the recommendation of the manufacturer. The application shall be done by using high pressure two component spray proportioning equipment like Graco XP2.
Treatment shall be provided from standard manufacturers like BASF, SIKA, FOSROC or equivalent.
Providing and applying PU BOND COAT  @0.15 kg /sqm by brush on application including , over this sprinkling sand on top of Polyurea coat on the walls for receiving glass tile application over the plaster surface.",Sqm, 315 ,, -   
7.10,WATERPROOFING TREATMENT FOR ALL WATERBODIES - FLOORS,, -   ,, -   
i,"1. Before starting waterproofing works the surface of the wall and floor should be made free of any loose particles, vegetation, grease, oily matters etc. All tie rod
holes  should  be  filled  properly.  All  honeycombs  should  be  repaired  as  per approved repair procedures. Any damp spots on the walls should be attended by
grouting with slurry cement mixed with flow enhancers like cebex 100 or equivalent until the leak or dampness is arrested.
2. All penetrations should be made water tight. Waterproofing details near the· penetrations should be submitted to the client and approval to be obtained prior to start the work. When pipes are fixed in the openings left out while casting structure, the  filling of the space between  pipe and concrete  shall  be carried out by approved non shrink cementitous grout. The portion of the pipe having interface with grout shall be roughened by spraying sand over epoxy bonding agent applied on the pipe and old concrete surface in contact with pipe.
3. Pond the pool by keeping water for full depth for atleast 72 hours. Any leakage or dampness  on the  surface  should  be arrested  by treating  the  concrete  by: injection of PU grout or any other suitable method acceptable to the client / the Engineer.
4. After  preparing  the tank as  mentioned above apply Single component, elastomeric liquid cold applied Poly Urethane membrane for floors (Thickness  as per manufacturer specification but shall not be less than 1.5mm thickness) with over 400% elongation and sufficient tensile  strength  (minimum  4MPa}. The  spray applied  membrane  should  be seamless,  free  of  any  holes. Applicator  should establish the continuity of the membrane with proper overlaps on the wall surfaces to a minimum of 300 mm from FFL with suitable test methods. 
5. After completion of waterproofing and allowing curing time, the ponding test shall be carried out to ensure water tightness for a period of 72 hours .
6.Thereafter Providing and laying 250 GSM non woven polypropylene geotextile for horizontal surface.
7.Treatment shall be provided from standard manufacturers like BASF, SIKA, FOSROC or equivalent.",Sqm, 558 ,, -   
ii,"On Floor: Providing & Laying average 50mm THK protective screed of M15 grade to required slope containing 12mm downsize aggregates, with a smooth finish, well compacted, curing for 7 days etc. complete. Cracks shall be strictly avoided in screed concrete.",Sqm, 553 ,, -   
iii,"On vertical surface : Providing and applying 12 mm thick protective plaster on the wall in cement mortar (1:4), including mixing integral waterproofing compound as per manufacturer specifications including bonding agent application on the coated surface to receive the plaster.",Sqm, 315 ,, -   
,Sub-Total,,,, -   
8,EXPANSION JOINT WORKS,, -   ,, -   
,"All Expansion joint treatment works shall be guaranteed for 10 years from the date of taking over certificate. This Guarantee shall outlive the contract and include that any defect noticed & intimated to the Contractor during the said Guarantee period shall be rectified  free of cost and in case of Contractor failing to do so within a reasonable time, the client / the Engineer shall reserve the right to get the same done at Contractors' risk & cost. Cost shall include reinstating /replacing other finishes in and around the expansion joint works.      ",, -   ,, -   
,"The expansion joint systems executed by the contractor should ensure that the products and work executed shall be in compliance with standard norms, UV resistant wherever applicable, temperature variations, thermal stresses induced, anti-root resistance where ever applicable.",, -   ,, -   
,"The system executed by the contractor shall withstand the building movements arise from thermal expansion and contraction, wind loading, drying shrinkage, creep, settlement, traffic loading, waterproofing  and fire proofing requirements till guarantee period.",, -   ,, -   
,Rate is inclusive of all tests to prove the soundness of the products and work executed meeting the codal compliances and above mentioned criteria. ,, -   ,, -   
,"The system shall be designed keeping the relevant code compliances, accessibility and international disability legislation, traffic types, traffic frequency, fire barrier, water tightness, building movements, settlement, construction practices, executed profiles, architectural intent and need, shape and size etc.",, -   ,, -   
,Contractor to adopt any other additional items and systems if required to fulfill the requirement of the performance of the system in the rates quoted to be included.,, -   ,, -   
,"Cost to include cleaning the joint and making it free from moisture, dampness, oil stains, paint and any type of loose aggregates prior to installation of expansion joint system including necessary repair of edges/undulations with polymer modified mortar, micro concrete, self leveling course, curing coating, ",, -   ,, -   
,"Providing and fixing of expansion joints system designed with joint sealing system, Aluminum/S.S extrusions, Anchor bolts, sealants, tapes, capping’s, gaskets, etc., complete as per approved details/drawings. System shall capable of withstanding repeated extensions, compressions, vibrations and cyclic movement without loosing adhesion properties and resist deterioration by weathering, sunlight, ozone, water, salt water, oil, fuels, acids and most of the commonly expossed conditions etc., complete with minimum 50% movement capacity and capable of accommodating multidirectional seismic movement without stress to its components.",, -   ,, -   
,The cover plate shall be designed of width and thickness required to satisfy movement and loading requirements and secured to base members by utilizing manufacturer’s pre-engineered self- centering arrangement that freely rotates / moves in all directions. ,, -   ,, -   
,"The joints shall be either with extruded aluminum base members with self aligning and self centering arrangement support plates as per ASTM B221-02 or compression seal system with necessary pads. The system shall be such that it provides watertight barrior not only at expossed surface but also at the structural level and system shal be able to accomodate the required flooring thickness as appropriate. System shall be able to withstand varies traffic loads such as vehicales, trucks, forklifts, cherry pikers, trollys, fire trucks etc and various traffic frequencies as well as intensities. ",, -   ,, -   
,The Self centering arrangement shall exhibit circular sphere ends that lock and slide inside the corresponding aluminum extrusion cavity to allow freedom of movement and flexure in all directions including vertical displacement.,, -   ,, -   
,Provision of Moisture Barrier Membrane in the Joint System to have water tight joint is mandatory requirement.,, -   ,, -   
,"Cost to include cleaning the joint and making it free from moisture, dampness, oil stains, paint and any type of loose aggregates prior to installation of expansion joint system including necessary repair of edges/undulations with polymer modified mortar, micro concrete, self leveling course, curing coating, ",, -   ,, -   
,Mode of measurement shall be as per IS:1200,, -   ,, -   
8.1,Tower & Amenity @ Ground Floor to 6th Floor (Amenity Terrace),, -   ,, -   
i,"Providing and fixing at parking floor to floor expansion joint Kantaflex model no. – XH4FS-4 for 100mm in accordance with the Structural drawing and specifications. The system is proprietary design consisting of aluminum profiles. The expansion joint includes aluminum frames and centre plate which slides between the frames to allow the movement joints. The system shall withstand continuous pedestrian, vehicular traffic and maintain water tightness. The system should accommodate seismic movement without damage to the components. Aluminum to conform as per ASTM B221 for extrusion alloy 6063-T5/T6 and contain moisture barrier for maintaining water tightness. Cost to include drilling and fixing of extrusions using heavy duty anchor bolts, and sealing the joints capable of withstanding repeated extensions, compressions, vibrations and cyclic movement without lot of adhesion and resist deterioration by weathering, sunlight, ozone, water, salt water, oil, fuels, acids and most of the commonly used acids, etc., complete within 50% movement capacity.",Rmt, 80 ,, -   
8.2,On Vertical Surfaces,, -   ,, -   
i,"Providing and fixing at parking wall to wall expansion joint Kantaflex model no. – WD-4 for 100mm in accordance with the Structural drawing and specifications. The system is proprietary design consisting of aluminum profiles. The expansion joint includes aluminum clip, aluminum cover plate and supporting isolated gasket for wall to wall condition. The cover plate snaps into the clip provided with isolated gasket on cover edges for better fitment on the wall with no slipping down tendency. The system should be fixed with appropriate anchors and fasteners and the exposed surface match the adjacent finishes. Aluminum to conform as per ASTM B221 for extrusion alloy 6063-T5. Cost to include drilling and fixing of extrusions using heavy duty anchor bolts, and sealing the joints capable of withstanding repeated extensions, compressions, and cyclic movement without lot of adhesion and resist deterioration by weathering, sunlight, ozone, water, salt water, oil, fuels, acids and most of the commonly used acids, etc., ",Rmt, 50 ,, -   
,Sub-Total,,,, -   
9,MISCELLANEOUS WORKS,, -   ,, -   
,Unless otherwise specified rates quoted for all miscellaneous works shall include the following :,, -   ,, -   
,"Cost of all materials, labour, equipment / tools & plants required, conveyance, infrastructure facilities required etc.",, -   ,, -   
,"Work shall be at all levels, heights & elevation and location.  ",, -   ,, -   
,"All materials supplied from the contractor shall be free from manufacturing defects and defective workmanship and guaranteed.  Any defects noticed shall be made good,at no extra cost",, -   ,, -   
,Tests on materials shall conform to IS  Specification and the test shall be carried out as directed either at site Laboratory or at any approved test laboratory.,, -   ,, -   
,"Provide all materials, hardwares, bolts and nuts, washers, any fastening materials and devices, anchor fasteners shall be of approved make and conform to IS specification if required.",, -   ,, -   
,All works to be carried out as per relevent services requirement.,, -   ,, -   
9.1,"Providing and fixing in position single component, self sealing water swelling bars made up of flexible polymer composites at construction  joints of retaining walls and water retaining structures etc., and wherever specified with proper overlaps at joints of approved makes as per consultants approval.",, -   ,, -   
a,Masterflex 610 of BASF make,Rmt, 304 ,, -   
9.2,"Providing and fixing in position the PVC coated steps of size 300 x 150mm for UG Sump, STP and OH Tank including placing 150mm inside concrete (while doing form work), aligning during concreting, grouting the junction if required, cleaning etc.,",Nos, 525 ,, -   
9.3,SUB SOIL DRAINAGE SYSTEM,, -   ,, -   
i,"Excavation in all kind of soils for laying sub soil drainage pipe upto 300mm dia (internal) including forming bottom surface to required level refilling selected excavated earth around the pipe in layers of 150mm thick watering consolidating and disposing off the surplus earth with in the site or as directed by the site Engineer with in a lead of 300m etc., complete.
Note:PCC area shall be considered for measurement (Working space & provision of slopes if required for execution shall not be paid separately).",Cum," 1,192 ",, -   
ii,"Providing and laying plain cement concrete of grade M10 at all levels using coarse graded aggregate of 20mm and down size, fine aggregates,OPC/PPC for levelling course under footings, flooring, steps, walls, platform, for external development works and at locations specified etc. including sub grade base preparation, form work wherever necessary, levelling, compacting, curing including all leads and lifts, rough finishing at the top surface etc. all complete, as directed by Client / the Engineer and as per drawings.",Cum, 119 ,, -   
iii,"Supplying, fixing and testing factory perforted Hard HDPE sub soil drainage pipes pre wraped with of 150 GSM geotextile cloth for sub soil drainage system including of all necessary coupling / fittings joints as indicated in the drawings. The product should satisfy following parameters as furnished below:                                        
01. Ring stiffness as per ISO 9969-2016.                                            
02. Resistance to Acid with 3% of HCI for 24 hours with out mass loss spalling or crack change in color.                                         
03. Resistance to Alkali with 3% of KOH for 24 hours with out mass loss spalling or crack change in color.                              
04. The perforation should above 60% of surface area.                
05. The Ring stiffness values shall be tested as per ISO 9969-2016 should be >0.8kn/sqm. 
Providing and laying Coarse sand, 20mm size grade aggregate about 200mm thick all around the pipes a filter media, etc., Cost to include necessary compaction and complete laid under floor as per detailed drawing. The make of pipe is R-drain or equivalent.",, -   ,, -   
a,160mm dia ,Rmt," 1,490 ",, -   
b,100mm dia ,Rmt, 75 ,, -   
iv,"Providing and constructing external well for sub soil drainage disposal with precast perforated RCC rings of 2m dia and 75mm thick reinforced with 8mm stirrups at 200mm c/c both ways including excavation in all types of soil, providing sand filling at the bottom and filter material at the sides of the well consisting of 40 - 80mm aggregates / boulders for a width of 300mm with proper packing, rungs, Manhole, providing an RCC top cover of 150mm thick as per the structural drawing, necessary excavation, backfillig,  connecting to the subsoil drainage, curing, all leads and lifts etc., complete. 
Well shall be minimum upto 6.0m below the Basement level",Nos, 4 ,, -   
9.4,Civil Work associated with PHE  & Miscellaneous works,, -   ,, -   
i,"Supplying and laying PCC support blocks of 1:3:6 concrete mix of sizes as given below for pipe supports on the terrace complete. 
Rates including all mind of materials, labour, lead and lift, at all heights, shuttering if any etc as complete directed by EIC.",Cum, 75 ,, -   
ii,"Supply, fabrication, fixing, testing and commissioning of "" GI "" puddle flanged pipes of required sizes for inlet, outlet, vent and overflow pipes for all Water retaining structures. The puddle flanged pipes shall be threaded end upto 50 mm dia and flanged ends above 50 mm dia. All the puddle flanged pipes, plates and fittings shall be Hot dip galvanized after fabrication as per IS specifications:
Length upto 750mm",, -   ,, -   
a,50mm dia,Nos, 116 ,, -   
b,65mm dia,Nos, 50 ,, -   
c,80mm dia,Nos, 50 ,, -   
d,100mm dia ,Nos, 50 ,, -   
e,150mm dia ,Nos, 8 ,, -   
f,200mm dia ,Nos, 10 ,, -   
g,250mm dia ,Nos, 8 ,, -   
,Note : ,, -   ,, -   
,1) All puddle flanges to be hot dip galvanised.,, -   ,, -   
,2) The puddle flange length shall be as per the site conditions.,, -   ,, -   
,3) Vent pipe shall have GI Elbow with mosquito mesh,, -   ,, -   
iii,"Manhole Covers: Supplying and fixing of CI frame and cover to UG Sump and overhead water tank complete as shown on the drawings etc., 
CI manhole frame and cover (medium duty ) with locking facility size of 600mm x 600mm and required weight is 32Kg to 38Kg",Nos, 58 ,, -   
iv,"Construction of Catch Basin of as per the required size and depth upto 1200mm with 200mm thick RCC walls  over a bed of 100 mm thick PCC 1:4:8 internal walls plastered smooth in CM 1:3 and external walls plastered in1:6 with sponge finish. Rates including necessary excavation, back filling the selected excavated earth with all leads and lifts, concrete, formwork, reinforcement steel,  etc., complete. The quoted rate shall include 110 dia PVC pipe sleeves from road GSM to the chamber as shown in the drawings.
600mm x 600mm (clear internal dimension) ",Nos, 55 ,, -   
v,"Supplying and fixing MS Catch Basin Grating with the frame as per drawing on top surface flushed to the finished floor level.Rate including all kind of materials, labours, lead and lift, accessories, etc including 2coats of enamel paint with 1 cost of primer etc as per directed by EIC.
Size: MS grating of size 600 x 600 mm ",Nos, 55 ,, -   
vi,"Construction of RCC Inspection Chamber as per Structural requirement using M20 grade concrete with 100mm thick walls and 100mm thick bottom slab including fixing of necessary PVC sleeves, Placing in position the RCC heavy duty Cover of 100mm thick as per the drawing issued by Consultants. Rates including Concrete, shuttering, reinforcement steel, sleeves, PVC rungs,  cover, including the cost of 100mm thick PCC 1:4:8, including 12mm thick smooth cement plaster in cement mortar 1:2 on internal faces of walls, benching and channelling in PCC 1:3:6, supplying, installing of PVC steps in position as per the detailed drawing, cement rendering and excavation in all types of strata including dense soil, disintegrated/weathered/soft rock (Poclanable), backfilling, ramming, removal of surplus soil with all leads and lifts, materials, labour, transportation, etc.",, -   ,, -   
a,450mm x 450mm (upto 750mm Depth),Nos, 20 ,, -   
b,600mm x 600mm (upto 1200mm Depth),Nos, 69 ,, -   
c,750mm x 750mm (upto 1500mm Depth),Nos, 20 ,, -   
vii,"Supplying and installing MS fabricated ramp drain grating using 60mm dia. M.S pipes at 100mm CC and 8mm thick MS flats welded together. The grating shall be placed on M.S angle of size 75mm x 75mm x 6mm the quoted rate shall include for painting with two coats of enamel paint overa coat of primer etc., complete width of the drain.
Size: 450mm wide",Rmt, 55 ,, -   
viii,"Providing, Supplying, installing, testing and commissionig of DWC pipe of approved quality laid to the required level and grade with collars joining in CM 1:3. Cost includes Excavation and filling the excavated trench, PCC 1:2:4 supports with approved quality Manufactured sand on sides, bottom and top surface of pipe of 150mm cushion with all leads and lifts, making necessaryconnections as required etc., complete.
200mm dia",Rmt, 770 ,, -   
ix,"Providing and laying in position the RCC  hume pipes (NP2) of approved quality and make including collars joining in CM 1:3,.necessary Excavation, PCC 1:2:4 supports, Sand cushion of 150mm on all sides, Refilling with earth, Compaction and making good the level, alignment etc.,complete",, -   ,, -   
a,450 mm dia,Rmt, 130 ,, -   
b,300 mm dia,Rmt, 240 ,, -   
c,150mm dia,Rmt, 320 ,, -   
x,"Providing & constructing RCC Built up trench of size 600X600mm as per layout and details.
Cost to includding Excavation, Backfilling, PCC, RCC Concrete, Reinforcement steel, formwork, plastering, manhole cover etc. Depth is 1.50m
i.  PCC 1:4:8 100mm tk
ii. M20 concrete for Bottom slab-150mm, Walls - 100mm & Top slab-150mm",Rmt, 100 ,, -   
xi,"Providing & constructing RCC Box Drain of size 300X300mm as per layout and details.
Cost to includding Excavation, Backfilling, PCC, RCC Concrete, Reinforcement steel, formwork, plastering, manhole cover etc. Depth is 1.50m
i.  PCC 1:4:8 100mm tk
ii. M20 concrete for Bottom slab-150mm, Walls - 100mm & Top Cover slab with DI",Rmt, 260 ,, -   
xii,"Providing, fabrication and fixing of GI Chain link mesh 50*50*8 Gauge wire welded to Box/Pipes as per drawing. Rate is inclusive of chain link material, fabrication, placing in position, welding, two coats of enamel paint over a one coat of zinc chromate primer etc, complete in all respects as directed by site in charge 
Note: The rate is excluding the MS frame support.",Sqm, 158 ,, -   
,Sub-Total,,,, -   
10,CONDUIT WITH ACCESSORIES ,, -   ,, -   
1,"Supply & Installation of 20 mm dia heavy duty FRLS 2 mm thick conduit for ceiling & wall in MIVAN shuttering  excluding wiring & including GI Fish wire / Nylon Fish wire, all other necessary acessories such as deeps, flat / round junction boxes, bends, collars, elbows, binding wires , suspension,etc whereevr required to complete works as per approved drawings and as also instructed by Client / the Engineer.
(Approved make “VIP / SUDHAKAR PIPES / UNIVERSAL / ANCHOR”)",Rmt," 9,800 ",, -   
2,"Supply & Installation of 25 mm dia heavy duty FRLS 2 mm thick conduit for ceiling & wall in MIVAN shuttering  excluding wiring & including GI Fish wire / Nylon Fish wire, all other necessary acessories such as deeps, flat / round junction boxes, bends, collars, elbows, binding wires , suspension,etc whereevr required to complete works as per approved drawings and as also instructed by Client / the Engineer.
(Approved make “VIP / SUDHAKAR PIPES / UNIVERSAL / ANCHOR”)",Rmt," 4,800 ",, -   
3,"Supply & Installation of ceiling fan junction box with complete rod assembly as per approved drawings and also instructed by Client / the Engineer. 
(Approved make “VIP / SUDHAKAR PIPES / UNIVERSAL / ANCHOR”)",Nos, 395 ,, -   
4,"Supply & Installation of deep metal junction box for ceiling with complete  assembly as per approved drawings and also instructed by Client / the Engineer. 
(Approved make “VIP / SUDHAKAR PIPES / UNIVERSAL / ANCHOR”)",Nos," 1,105 ",, -   
5,"Supply & Installation of metal junction box for wall with complete  assembly as per approved drawings and also instructed by Client / the Engineer. 
(Approved make “VIP / SUDHAKAR PIPES / UNIVERSAL / ANCHOR”)",Nos," 1,105 ",, -   
