Sr.No,SAP Item ,Short Desc,QUANTITY,QUANTITY,UNIT,LONG TEXT,RATE,Amount
1410,"13000569
/995411","13000186 /995453 CRE-
Terrace Waterproof",150,,RMT,WP- Terrace- PU waterproofing membrane,220,33000
1410,"13000186
/995453","13000189 /995453 CRE-
Terrace 75mm thk p",889,,SQM,WP- Terrace-M15 screed- Tiling area,990,880110
1410,"13000189
/995453","14000389 /995411 Clay tile
flooring",889,,SQM,Clay tile 200x200 -floor- flat Terrace,813,722757
1410,"14000389
/995411","14000390 /995411 Clay tile
Skirting",889,,SQM,Clay tile 200x200 -Skirting- flat Terrac,"1,172.00",1041908
1410,"14000390
/995411","13000736 /995411 WP-
Concrete Admixture T",457,,RMT,WP- Integral admixture M30 terrace slab,251,114707
1410,"13000736
/995411","13000735 /995411 WP-
Concrete Admixture O",161,,CUM,WP- Integral admixture M30 OHT,877,141197
1410,"13000735
/995411","13000170 /995453 CRE-
UG Tank Hzl Protec",45,,CUM,WP- Protection Screed M15-sump floor,877,39465
1410,"13000170
/995453","13000736 /995411 WP-
Concrete Admixture T",35,,SQM,WP- Integral admixture M30 Stair headroo,429,15015
1410,"13000736
/995411","13000175 /995453 CRE-
UG Tank Vertical P",30,,CUM,WP- Protection Plaster -sump Wall Intern,877,26310
1410,"13000175
/995453","13000168 /995453 CRE-
OH Tank Internal W",105,,SQM,WP- food grade epoxy -OHT Internal,392,41160
1410,"13000168
/995453","13000580 /995411 WP
Part 1 - Toilet, Bal",145,,SQM,WP Toilet - Treatment,385,55825
1410,"13000580
/995411","13000580 /995411 WP
Part 1 - Toilet, Bal","1,066.00",,SQM,WP Balcony - Treatment,956,1019096
1410,"13000580
/995411","13000581 /995411 WP
Part 2 - Toilet, Bal",788,,SQM,WP- M15 Screed-Toilet,956,753328
1410,"13000581
/995411","13000581 /995411 WP
Part 2 - Toilet, Bal","1,066.00",,SQM,WP- M15 Screed-Balcony,830,884780
1410,"13000581
/995411","14000275 /995411
Waterproof Cement Paint",788,,SQM,WP Treatment -Sunk depth 150 mm,830,654040
1420,"14000275
/995411","Polysulfide Sealant Floor/
Wall",500,,SQM,Exp. joint-Water seal,956,478000
1420,,"13000273 /995432
Polysulfide Sealant Flo",1,,AU,Exp. joint-Water seal,"11,11,005.00",1111005
1420,"13000273
/995432","13000273 /995432
Polysulfide Sealant Flo",105,,RMT,Exp. joint-Compression seal,"1,725.00",181125
1420,"13000273
/995432","13000285 /995432
Expansion Joint",105,,RMT,Exp. joint-Side Al cover plate,"2,070.00",217350
1420,"13000285
/995432","13000285 /995432
Expansion Joint",105,,RMT,Exp. joint-Side Al cover plate,"3,393.00",356265
1430,"13000285
/995432",Pvc Conduit 20Mm,105,,RMT,"Supply & Installation of 20 mm dia heavy duty FRLS 2 mm thick conduitfor ceiling & wall in MIVAN shuttering excluding wiring &
including GIFish wire / Nylon Fish wire, all other necessary acessories such asdeeps, flat / round junction boxes, bends, col","3,393.00",356265
1430,,"18000256 /995432 Pvc
Conduit 20Mm",1,,AU,"Supply & Installation of 20 mm dia heavy duty FRLS 2 mm thick conduitfor ceiling & wall in MIVAN shuttering excluding wiring &
including GIFish wire / Nylon Fish wire, all other necessary acessories such asdeeps, flat / round junction boxes, bends, col","25,24,676.40",2524676.4
1430,"18000256
/995432","18000261 /995432 Supply
Of 8 Module Box","14,400.00",,RMT,8module (77.3mm H x 232.8mm W x 51mm),67,964800
1430,"18000261
/995432","18000261 /995432 Supply
Of 8 Module Box",133.2,,NOS,12 module (132.0 mm H x 206.0mm W x 55.0mm),362,48218.4
1430,"18000261
/995432","18000075 /995432 25Mm
Pvc Conduit Electr",108,,NOS,"Supply & Installation of 25 mm dia heavy duty FRLS 2 mm thick conduitfor ceiling & wall in MIVAN shuttering excluding wiring &
including GIFish wire / Nylon Fish wire, all other necessary acessories such asdeeps, flat / round junction boxes, bends, col",397,42876
1430,"18000075
/995432","24000013 /995461
Junction Boxes","6,750.00",,RMT,"Supply & Installation of ceiling fan junction box with complete rodassembly as per approved drawings and also instructed by
Client / theEngineer.
(Approved make “VIP / SUDHAKAR PIPES / UNIVERSAL /POWERPLAST”)",81,546750
1430,"24000013
/995461","18000649 /995411 12 Way
Spn Db Electrica",630,,NOS,"Supply & Installation of 12 way single phase MS powder coated MCB DBbox 2mm thick with complete assembly excluding
switchgears as perapproved drawings and also instructed by Client / theEngineer.
(Approved make: ""HAGER / LEGRAND / SCHNEIDER / INDOASIAN#",110,69300
1430,"18000649
/995411","18000100 /995432 8 Way
Single Phase Mcb",133.2,,NOS,"Supply & Installation of 8 way single phase MS powder coated MCB DB box2mm thick with complete assembly excluding
switchgears as per approveddrawings and also instructed by Client / the Engineer.
(Approved make:""HAGER / LEGRAND / SCHNEIDER / INDOASIAN#","2,960.00",394272
1430,"18000100
/995432","18000257 /995432 Supply
Of 1/2 Module Bo",13.5,,NOS,1- 2 module (76.5mm H x 76.5mm W x 51mm),"2,324.00",31374
1430,"18000257
/995432","18000258 /995432 Supply
Of 3 Module Box",729,,NOS,3module (76.5mm H x 99.7mm W x 51mm),134,97686
1430,"18000258
/995432","18000259 /995432 Supply
Of 4 Module Box",450,,NOS,4module (76.5mm H x 136.8mm W x 51mm),197,88650
1430,"18000259
/995432","18000260 /995432 Supply
Of 6 Module Box",450,,NOS,6module (76.5mm H x 214.2mm W x 51mm),255,114750
1440,"18000260
/995432",Solid block 200mm thk,450,,NOS,Masonry works: 200mm SBW,280,126000
1440,,"14000209 /995411 Solid
block 200mm thk",1,,AU,Masonry works: 200mm SBW,"5,32,818.00",532818
1440,"14000209
/995411","14000210 /995411 Solid
block 150mm thk",162,,SQM,Masonry works: 150mm SBW,"1,469.00",237978
1450,"14000210
/995411",Internal Plastering,234,,SQM,"Internal plaster- CM 1:6,12 mm thk","1,260.00",294840
1450,,"14000221 /995411 Internal
Plastering",1,,AU,"Internal plaster- CM 1:6,12 mm thk","44,81,433.00",4481433
1450,"14000221
/995411","14000223 /995411 GI
expanded metal mesh",144,,SQM,Coarse putty Works,442,63648
1450,"14000223
/995411","14000224 /995411
Gypsum Plaster-On Wall","1,265.00",,RMT,Coarse putty Works,90,113850
1450,"14000224
/995411","14000225 /995411
Gypsum Plaster-On Ceili","1,265.00",,SQM,Coarse putty Works,90,113850
1450,"14000225
/995411","14000226 /995411 Rough
plastering","1,265.00",,SQM,Coarse putty Works,92,116380
1450,"14000226
/995411","14000227 /995411 Shaft
plastering","1,265.00",,SQM,Coarse putty Works,92,116380
1450,"14000227
/995411","14000228 /995411 Corner
beads","1,265.00",,SQM,Coarse putty Works,92,116380
1450,"14000228
/995411","14000229 /995411
Plastering for duct wal","1,265.00",,NOS,Coarse putty Works,92,116380
1450,"14000229
/995411","14000220 /995411 Coarse
Putty - On Wall","1,265.00",,SQM,Coarse putty Works,92,116380
1450,"14000220
/995411","14000220 /995411 Coarse
Putty - On Wall","1,265.00",,SQM,Coarse putty Works,95,120175
1450,"14000220
/995411","14000220 /995411 Coarse
Putty - On Wall","1,265.00",,SQM,Coarse putty Works,95,120175
1450,"14000220
/995411","14000226 /995411 Rough
plastering","1,265.00",,SQM,"Rough plaster CM 1:6,8 mm thk toilet wal",95,120175
1450,"14000226
/995411","14000220 /995411 Coarse
Putty - On Wall","4,860.00",,SQM,Coarse putty Works,341,1657260
1450,"14000220
/995411","14000220 /995411 Coarse
Putty - On Wall","1,265.00",,SQM,Coarse putty Works,95,120175
1450,"14000220
/995411","14000220 /995411 Coarse
Putty - On Wall","1,265.00",,SQM,Coarse putty Works,95,120175
1450,"14000220
/995411","14000220 /995411 Coarse
Putty - On Wall","1,265.00",,SQM,Coarse putty Works,97,122705
1450,"14000220
/995411","14000220 /995411 Coarse
Putty - On Wall","1,265.00",,SQM,Coarse putty Works,97,122705
1450,"14000220
/995411","14000226 /995411 Rough
plastering","1,265.00",,SQM,"Rough plaster CM 1:6,8 mm thk kitchen wa",97,122705
1450,"14000226
/995411","14000219 /995411
External plastering",789,,SQM,External sponge finish plaster 20 mm thk,341,269049
1450,"14000219
/995411","14000227 /995411 Shaft
plastering",322,,SQM,"Shaft plaster-CM 1:6,10 mm thk",679,218638
1450,"14000227
/995411","14000336 /995411 Cement
Mortar Band",288,,SQM,Drip mould/Plasterband/12mm groove,481,138528
1450,"14000336
/995411","14000220 /995411 Coarse
Putty - On Wall",65,,RMT,Coarse putty Works,218,14170
1450,"14000220
/995411","14000221 /995411 Internal
Plastering","1,265.00",,SQM,Coarse putty Works,90,113850
1450,"14000221
/995411","14000222 /995411 Ceiling
plastering","1,265.00",,SQM,Coarse putty Works,90,113850
1460,"14000222
/995411",Gypsum Plaster-On Wall,"1,265.00",,SQM,Gyp. plaster 6-8mm Intrnl wall,90,113850
1460,,"14000224 /995411
Gypsum Plaster-On Wall",1,,AU,Gyp. plaster 6-8mm Intrnl wall,"93,48,639.00",9348639
1460,"14000224
/995411","14000224 /995411
Gypsum Plaster-On Wall",573,,SQM,Gyp. plaster 6-8mm Intrnl wall,330,189090
1460,"14000224
/995411","14000224 /995411
Gypsum Plaster-On Wall","1,523.00",,SQM,Gyp. plaster 6-8mm Intrnl wall,332,505636
1460,"14000224
/995411","14000224 /995411
Gypsum Plaster-On Wall","1,523.00",,SQM,Gyp. plaster 6-8mm Intrnl wall,332,505636
1460,"14000224
/995411","14000224 /995411
Gypsum Plaster-On Wall","1,523.00",,SQM,Gyp. plaster 6-8mm Intrnl wall,334,508682
1460,"14000224
/995411","14000224 /995411
Gypsum Plaster-On Wall","1,523.00",,SQM,Gyp. plaster 6-8mm Intrnl wall,334,508682
1460,"14000224
/995411","14000224 /995411
Gypsum Plaster-On Wall","1,523.00",,SQM,Gyp. plaster 6-8mm Intrnl wall,334,508682
1460,"14000224
/995411","14000224 /995411
Gypsum Plaster-On Wall","1,523.00",,SQM,Gyp. plaster 6-8mm Intrnl wall,334,508682
1460,"14000224
/995411","14000224 /995411
Gypsum Plaster-On Wall","1,523.00",,SQM,Gyp. plaster 6-8mm Intrnl wall,334,508682
1460,"14000224
/995411","14000224 /995411
Gypsum Plaster-On Wall","1,523.00",,SQM,Gyp. plaster 6-8mm Intrnl wall,337,513251
1460,"14000224
/995411","14000224 /995411
Gypsum Plaster-On Wall","1,523.00",,SQM,Gyp. plaster 6-8mm Intrnl wall,337,513251
1460,"14000224
/995411","14000224 /995411
Gypsum Plaster-On Wall","1,523.00",,SQM,Gyp. plaster 6-8mm Intrnl wall,337,513251
1460,"14000224
/995411","14000224 /995411
Gypsum Plaster-On Wall","1,523.00",,SQM,Gyp. plaster 6-8mm Intrnl wall,330,502590
1460,"14000224
/995411","14000224 /995411
Gypsum Plaster-On Wall",104,,SQM,Gyp. plaster 6-8mm Intrnl wall,339,35256
1460,"14000224
/995411","14000224 /995411
Gypsum Plaster-On Wall","1,523.00",,SQM,Gyp. plaster 6-8mm Intrnl wall,330,502590
1460,"14000224
/995411","14000224 /995411
Gypsum Plaster-On Wall","1,523.00",,SQM,Gyp. plaster 6-8mm Intrnl wall,330,502590
1460,"14000224
/995411","14000224 /995411
Gypsum Plaster-On Wall","1,523.00",,SQM,Gyp. plaster 6-8mm Intrnl wall,330,502590
1460,"14000224
/995411","14000224 /995411
Gypsum Plaster-On Wall","1,523.00",,SQM,Gyp. plaster 6-8mm Intrnl wall,330,502590
1460,"14000224
/995411","14000224 /995411
Gypsum Plaster-On Wall","1,523.00",,SQM,Gyp. plaster 6-8mm Intrnl wall,332,505636
1460,"14000224
/995411","14000224 /995411
Gypsum Plaster-On Wall","1,523.00",,SQM,Gyp. plaster 6-8mm Intrnl wall,332,505636
1470,"14000224
/995411",Vitrified Tiles Flooring,"1,523.00",,SQM,600x600 Vitri. tile-Corridor/Units floor,332,505636
1470,,"14000196 /995432 Vitrified
Tiles Floorin",1,,AU,600x600 Vitri. tile-Corridor/Units floor,"3,37,01,780.50",33701780.5
1470,"14000196
/995432","14000233 /995411 Anti
Skid Ceramic Tiles","10,896.00",,SQM,300x300 Antiskid ceramic floor-Toilet,"1,381.00",15047376
1470,"14000233
/995411","14000233 /995411 Anti
Skid Ceramic Tiles",58,,SQM,300x300 Antiskid ceramic floor-Toilet,"1,344.00",77952
1470,"14000233
/995411","14000233 /995411 Anti
Skid Ceramic Tiles",58,,SQM,300x300 Antiskid ceramic floor-Toilet,"1,351.00",78358
1470,"14000233
/995411","14000233 /995411 Anti
Skid Ceramic Tiles",58,,SQM,300x300 Antiskid ceramic floor-Toilet,"1,359.00",78822
1470,"14000233
/995411","14000233 /995411 Anti
Skid Ceramic Tiles",58,,SQM,300x300 Antiskid ceramic floor-Toilet,"1,366.00",79228
1470,"14000233
/995411","14000233 /995411 Anti
Skid Ceramic Tiles",58,,SQM,300x300 Antiskid ceramic floor-Toilet,"1,373.00",79634
1470,"14000233
/995411","14000233 /995411 Anti
Skid Ceramic Tiles",58,,SQM,300x300 Antiskid ceramic floor-Toilet,"1,380.00",80040
1470,"14000233
/995411","14000233 /995411 Anti
Skid Ceramic Tiles",58,,SQM,300x300 Antiskid ceramic floor-Toilet,"1,387.00",80446
1470,"14000233
/995411","14000233 /995411 Anti
Skid Ceramic Tiles",58,,SQM,300x300 Antiskid ceramic floor-Toilet,"1,394.00",80852
1470,"14000233
/995411","14000233 /995411 Anti
Skid Ceramic Tiles",58,,SQM,300x300 Antiskid ceramic floor-Toilet,"1,401.00",81258
1470,"14000233
/995411","14000232 /995411 Vitrified
tile Skirting",58,,SQM,75 mm vitri.Tile skirt.-Corridor/Units f,"1,409.00",81722
1470,"14000232
/995411","14000233 /995411 Anti
Skid Ceramic Tiles","10,384.00",,RMT,300x300 Antiskid ceramic floor-Toilet,173,1796432
1470,"14000233
/995411","14000233 /995411 Anti
Skid Ceramic Tiles",58,,SQM,300x300 Antiskid ceramic floor-Toilet,"1,416.00",82128
1470,"14000233
/995411","14000233 /995411 Anti
Skid Ceramic Tiles",58,,SQM,300x300 Antiskid ceramic floor-Toilet,"1,423.00",82534
1470,"14000233
/995411","14000235 /995411
Ceramic Tiles skirting",58,,SQM,75 mm Antiskid ceramic skirt-Balcony,"1,430.00",82940
1470,"14000235
/995411","14000257 /995411
Ceramic Tiles - Dadoing","1,425.00",,RMT,450x300 Ceramic tile dado-Toilet,172,245100
1470,"14000257
/995411","14000033 /995474 CRE-
Glazed Ceramic Til","4,991.00",,SQM,450x300 Ceramic tile dado-Kitchen,"1,257.00",6273687
1470,"14000033
/995474","14000441 /995411 Kitchen
granite slab",609,,SQM,20 mm thk Granite slab Kitchen,"1,257.00",765513
1470,"14000441
/995411","14000118 /995475 CRE-
Granite Counters 2",498,,SQM,20 mm thk Granite slab Toilet,"5,696.00",2836608
1470,"14000118
/995475","14000334 /995411 Granite
strip tile",149,,SQM,Main door threshold Granite strip,"5,696.00",848704
1470,"14000334
/995411","14000334 /995411 Granite
strip tile",167,,RMT,Granite transition strip Balcony door,675,112725
1470,"14000334
/995411","14000233 /995411 Anti
Skid Ceramic Tiles",463,,RMT,300x300 Antiskid ceramic floor-Balcony,562,260206
1470,"14000233
/995411","14000334 /995411 Granite
strip tile",944,,SQM,Granite transition strip Bedroom-toilets,"1,223.00",1154512
1470,"14000334
/995411","14000334 /995411 Granite
strip tile",258,,RMT,Granite transition strip Wet/Dry area,450,116100
1470,"14000334
/995411","14000333 /995411 Granite
coping over led",479,,RMT,180 mm wide Granite toilet ledge top,450,215550
1470,"14000333
/995411","14000399 /995411
Concrete Tiles flooring",258,,RMT,20 mm thk concrete tile -Stair Landing,"1,117.00",288186
1470,"14000399
/995411","14000397 /995411
Concrete Tiles flooring",285,,SQM,20 mm thk concrete tile -Stair Tread,"1,363.00",388455
1470,"14000397
/995411","14000398 /995411
Concrete Tiles flooring",266,,SQM,20 mm thk concrete tile -Stair Riser,"1,363.00",362558
1470,"14000398
/995411","14000094 /995475 CRE-
Granite Skirting,",152,,SQM,75 mm concrete tile skirting,"1,363.00",207176
1470,"14000094
/995475","14000258 /995411 Granite
lift cladding",703,,RMT,Granite cladding lift wall,177,124431
1470,"14000258
/995411","14000259 /995411 Granite
Lift Architrave",95,,SQM,Granite border- lift wall jambs,"5,433.00",516135
1470,"14000259
/995411","14000240 /995411 Granite
flooring",114,,SQM,Granite floor- lift car,"5,647.00",643758
1470,"14000240
/995411","14000233 /995411 Anti
Skid Ceramic Tiles",8.5,,SQM,300x300 Antiskid ceramic floor-Toilet,"3,837.00",32614.5
1470,"14000233
/995411","14000233 /995411 Anti
Skid Ceramic Tiles",28,,SQM,300x300 Antiskid ceramic floor-Toilet,"1,301.00",36428
1470,"14000233
/995411","14000233 /995411 Anti
Skid Ceramic Tiles",58,,SQM,300x300 Antiskid ceramic floor-Toilet,"1,308.00",75864
1470,"14000233
/995411","14000233 /995411 Anti
Skid Ceramic Tiles",58,,SQM,300x300 Antiskid ceramic floor-Toilet,"1,316.00",76328
1470,"14000233
/995411","14000233 /995411 Anti
Skid Ceramic Tiles",58,,SQM,300x300 Antiskid ceramic floor-Toilet,"1,323.00",76734
1470,"14000233
/995411","14000233 /995411 Anti
Skid Ceramic Tiles",58,,SQM,300x300 Antiskid ceramic floor-Toilet,"1,330.00",77140
1480,"14000233
/995411",Unit Entry Door,58,,SQM,Main door - D (1050 x 2400 MM),"1,337.00",77546
1480,,"14000345 /995411 Unit
Entry Door",1,,AU,Main door - D (1050 x 2400 MM),"1,53,10,900.00",15310900
1480,"14000345
/995411","14000346 /995411 Bed
Room Door",148,,NOS,Internal door - D2 (900x 2100MM),"15,950.00",2360600
1480,"14000346
/995411","14000347 /995411 Toilet
Door",368,,NOS,Toilet door - D3 (750 x 2100MM),"13,200.00",4857600
1480,"14000347
/995411","14000350 /995411 2hr.
Fire rated hollow",332,,NOS,MSD/MSD2 1200x2100 mm (Staircase Doors),"12,100.00",4017200
1480,"14000350
/995411","14000350 /995411 2hr.
Fire rated hollow",116,,SQM,DD 900x1350 mm (Shaft Doors),"8,250.00",957000
1480,"14000350
/995411","14000350 /995411 2hr.
Fire rated hollow",324,,SQM,DD1 600x1350 mm (Shaft Doors),"8,250.00",2673000
1490,"14000350
/995411",UPVC Sliding Door,54,,SQM,UPVC SD1 2100x2400 mm,"8,250.00",445500
1490,,"14000352 /995411 UPVC
Sliding Door",1,,AU,UPVC SD1 2100x2400 mm,"1,29,07,617.19",12907617.19
1490,"14000352
/995411","14000351 /995411 UPVC
Door/Windows/Venti",378,,SQM,UPVC CW1 1800x1300 mm,"4,620.00",1746360
1490,"14000351
/995411","14000351 /995411 UPVC
Door/Windows/Venti",5,,SQM,UPVC GW1 1800x1300 mm (Grill window),"4,620.00",23100
1490,"14000351
/995411","14000355 /995411 UPVC
Ventilators",11,,SQM,UPVC V1 750x1200 mm,"4,620.00",50820
1490,"14000355
/995411","14000355 /995411 UPVC
Ventilators",278,,SQM,UPVC V2 750x900 mm,"4,620.00",1284360
1490,"14000355
/995411","14000355 /995411 UPVC
Ventilators",36,,SQM,UPVC V3 1200x600 mm,"4,620.00",166320
1490,"14000355
/995411","14000355 /995411 UPVC
Ventilators",1,,SQM,UPVC V4 600x900 mm,"4,620.00",4620
1490,"14000355
/995411","14000352 /995411 UPVC
Sliding Door",1,,SQM,UPVC SD2 1500x2400 mm,"4,620.00",4620
1490,"14000352
/995411","14000352 /995411 UPVC
Sliding Door",537,,SQM,UPVC SD3 1350x2400 mm,"4,620.00",2480940
1490,"14000352
/995411","14000353 /995411 UPVC
Sliding Window",133,,SQM,UPVC KW1 1200x1300 mm,"4,620.00",614460
1490,"14000353
/995411","14000353 /995411 UPVC
Sliding Window",241,,SQM,UPVC SW1-1500X1300mm,"4,620.00",1113420
1490,"14000353
/995411","14000353 /995411 UPVC
Sliding Window",114,,SQM,UPVC SW2-1000X1300mm,"4,620.00",526680
1490,"14000353
/995411","14000353 /995411 UPVC
Sliding Window",76,,SQM,UPVC SW3-750X1300mm,"4,620.00",351120
1490,"14000353
/995411","14000351 /995411 UPVC
Door/Windows/Venti",40,,SQM,UPVC W1 1500x2350mm,"4,620.00",184800
1490,"14000351
/995411","14000351 /995411 UPVC
Door/Windows/Venti",468,,SQM,UPVC W2 1200x2325 mm,"4,620.00",2162160
1490,"14000351
/995411","14000139 /995432 Louvers
Aluminum Work",306,,SQM,"Providing and fixing Extruded aluminum works for louvers and fixed glazing with extruded built up sections of size 61.85 x 31.75
mm with 1.2 mm thick bottom section weight 0.695 kg/m","4,620.00",1413720
1500,"14000139
/995432","Acrylic Emulsion Paint -
Ceiling",237.75,,SQM,Acrylic emulsion -Internal Ceiling,"3,281.25",780117.1875
1500,,"14000264 /995411 Acrylic
Emulsion Paint",1,,AU,Acrylic emulsion -Internal Ceiling,"1,47,71,657.00",14771657
1500,"14000264
/995411","14000265 /995411 Acrylic
Emulsion Paint","11,642.00",,SQM,Acrylic emulsion -Internal walls,130,1513460
1500,"14000265
/995411","14000365 /995411 Ext.
Grade Emulsion Pai","31,635.00",,SQM,Apex-Weatherproof Exterior emulsion,130,4112550
1500,"14000365
/995411","14000361 /995411
Synthetic Textured Fini","4,555.00",,SQM,Texture scratch finish-External wall,156,710580
1500,"14000361
/995411","14000267 /995411 White
Wash","24,015.00",,SQM,"Whitewash-Wall-duct, abv FC/Ceilng",341,8189115
1510,"14000267
/995411",MS Railing,"4,392.00",,SQM,Staircase railing,56,245952
1510,,"14000278 /995411 MS
Railing",1,,AU,Staircase railing,"28,93,906.10",2893906.1
1510,"14000278
/995411","14000278 /995411 MS
Railing",276,,KG,Staircase railing,126,34776
1510,"14000278
/995411","14000278 /995411 MS
Railing",276,,KG,Staircase railing,128,35328
1510,"14000278
/995411","14000278 /995411 MS
Railing",276,,KG,Staircase railing,128,35328
1510,"14000278
/995411","14000278 /995411 MS
Railing",276,,KG,Staircase railing,131,36156
1510,"14000278
/995411","14000278 /995411 MS
Railing",276,,KG,Staircase railing,131,36156
1510,"14000278
/995411","14000278 /995411 MS
Railing",276,,KG,Staircase railing,131,36156
1510,"14000278
/995411","14000278 /995411 MS
Railing",276,,KG,Staircase railing,131,36156
1510,"14000278
/995411","14000278 /995411 MS
Railing",276,,KG,Staircase railing,131,36156
1510,"14000278
/995411","14000278 /995411 MS
Railing",276,,KG,Staircase railing,133,36708
1510,"14000278
/995411","14000278 /995411 MS
Railing",276,,KG,Staircase railing,133,36708
1510,"14000278
/995411","14000278 /995411 MS
Railing",276,,KG,Staircase railing,133,36708
1510,"14000278
/995411","14000278 /995411 MS
Railing",276,,KG,MS railing Balcony,126,34776
1510,"14000278
/995411","14000278 /995411 MS
Railing",273,,KG,MS railing Balcony,126,34398
1510,"14000278
/995411","14000278 /995411 MS
Railing",591,,KG,MS railing Balcony,126,74466
1510,"14000278
/995411","14000278 /995411 MS
Railing",591,,KG,MS railing Balcony,126,74466
1510,"14000278
/995411","14000278 /995411 MS
Railing",591,,KG,MS railing Balcony,126,74466
1510,"14000278
/995411","14000278 /995411 MS
Railing",591,,KG,MS railing Balcony,126,74466
1510,"14000278
/995411","14000278 /995411 MS
Railing",591,,KG,MS railing Balcony,126,74466
1510,"14000278
/995411","14000278 /995411 MS
Railing",591,,KG,MS railing Balcony,128,75648
1510,"14000278
/995411","14000278 /995411 MS
Railing",591,,KG,MS railing Balcony,128,75648
1510,"14000278
/995411","14000278 /995411 MS
Railing",591,,KG,MS railing Balcony,128,75648
1510,"14000278
/995411","14000278 /995411 MS
Railing",591,,KG,Staircase railing,128,75648
1510,"14000278
/995411","14000278 /995411 MS
Railing",276,,KG,MS railing Balcony,126,34776
1510,"14000278
/995411","14000278 /995411 MS
Railing",591,,KG,MS railing Balcony,128,75648
1510,"14000278
/995411","14000278 /995411 MS
Railing",591,,KG,MS railing Balcony,131,77421
1510,"14000278
/995411","14000278 /995411 MS
Railing",591,,KG,MS railing Balcony,131,77421
1510,"14000278
/995411","14000278 /995411 MS
Railing",591,,KG,MS railing Balcony,131,77421
1510,"14000278
/995411","14000278 /995411 MS
Railing",591,,KG,MS railing Balcony,131,77421
1510,"14000278
/995411","14000278 /995411 MS
Railing",591,,KG,MS railing Balcony,131,77421
1510,"14000278
/995411","14000278 /995411 MS
Railing",591,,KG,MS railing Balcony,133,78603
1510,"14000278
/995411","14000278 /995411 MS
Railing",591,,KG,MS railing Balcony,133,78603
1510,"14000278
/995411","14000278 /995411 MS
Railing",591,,KG,Corridor railing,133,78603
1510,"14000278
/995411","14000278 /995411 MS
Railing",313,,KG,Staircase railing,126,39438
1510,"14000278
/995411","14000278 /995411 MS
Railing",276,,KG,Corridor railing,126,34776
1510,"14000278
/995411","14000278 /995411 MS
Railing",313,,KG,Corridor railing,126,39438
1510,"14000278
/995411","14000278 /995411 MS
Railing",313,,KG,Corridor railing,126,39438
1510,"14000278
/995411","14000278 /995411 MS
Railing",313,,KG,Corridor railing,126,39438
1510,"14000278
/995411","14000278 /995411 MS
Railing",313,,KG,Corridor railing,126,39438
1510,"14000278
/995411","14000278 /995411 MS
Railing",313,,KG,Corridor railing,128,40064
1510,"14000278
/995411","14000278 /995411 MS
Railing",313,,KG,Corridor railing,128,40064
1510,"14000278
/995411","14000278 /995411 MS
Railing",313,,KG,Corridor railing,128,40064
1510,"14000278
/995411","14000278 /995411 MS
Railing",313,,KG,Corridor railing,128,40064
1510,"14000278
/995411","14000278 /995411 MS
Railing",313,,KG,Corridor railing,128,40064
1510,"14000278
/995411","14000278 /995411 MS
Railing",313,,KG,Staircase railing,131,41003
1510,"14000278
/995411","14000278 /995411 MS
Railing",276,,KG,Corridor railing,126,34776
1510,"14000278
/995411","14000278 /995411 MS
Railing",313,,KG,Corridor railing,131,41003
1510,"14000278
/995411","14000278 /995411 MS
Railing",313,,KG,Corridor railing,131,41003
1510,"14000278
/995411","14000278 /995411 MS
Railing",313,,KG,Corridor railing,131,41003
1510,"14000278
/995411","14000278 /995411 MS
Railing",313,,KG,Corridor railing,131,41003
1510,"14000278
/995411","14000278 /995411 MS
Railing",313,,KG,Corridor railing,133,41629
1510,"14000278
/995411","14000278 /995411 MS
Railing",313,,KG,Corridor railing,133,41629
1510,"14000278
/995411","14000278 /995411 MS
Railing",313,,KG,MS Ladder & stairs,133,41629
1510,"14000278
/995411","14000278 /995411 MS
Railing",459.9,,KG,MS Grills,131,60246.9
1510,"14000278
/995411","14000278 /995411 MS
Railing",169.2,,KG,Staircase railing,131,22165.2
1510,"14000278
/995411","14000278 /995411 MS
Railing",276,,KG,Staircase railing,126,34776
1510,"14000278
/995411","14000278 /995411 MS
Railing",276,,KG,Staircase railing,128,35328
1510,"14000278
/995411","14000278 /995411 MS
Railing",276,,KG,Staircase railing,128,35328
1520,"14000278
/995411","Silhouette Grid False
Ceiling",276,,KG,Gypboard Grid ceiling toilets,128,35328
1520,,"14000313 /995411
Silhouette Grid False C",1,,AU,Gypboard Grid ceiling toilets,"10,37,640.00",1037640
1520,"14000313
/995411","14000313 /995411
Silhouette Grid False C",26,,SQM,Gypboard Grid ceiling toilets,960,24960
1520,"14000313
/995411","14000313 /995411
Silhouette Grid False C",58,,SQM,Gypboard Grid ceiling toilets,972,56376
1520,"14000313
/995411","14000313 /995411
Silhouette Grid False C",58,,SQM,Gypboard Grid ceiling toilets,972,56376
1520,"14000313
/995411","14000313 /995411
Silhouette Grid False C",58,,SQM,Gypboard Grid ceiling toilets,972,56376
1520,"14000313
/995411","14000313 /995411
Silhouette Grid False C",58,,SQM,Gypboard Grid ceiling toilets,972,56376
1520,"14000313
/995411","14000313 /995411
Silhouette Grid False C",58,,SQM,Gypboard Grid ceiling toilets,972,56376
1520,"14000313
/995411","14000313 /995411
Silhouette Grid False C",58,,SQM,Gypboard Grid ceiling toilets,978,56724
1520,"14000313
/995411","14000313 /995411
Silhouette Grid False C",58,,SQM,Gypboard Grid ceiling toilets,978,56724
